,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Geographical Information Science - University of Peradeniya,0.5641999754354252,0.3496653685551119,0.01586766930198258,0.00011800157985952797,0.9470931978622779,0.5590132333870614,0.3865996405943365,0.4629392957704713,0.5840154746546042,0.18953621341385551,0.9963633101420265,0.2756367741735306,0.23290966313475658,0.17867893985475114,0.3268990126592055,0.08101806242857401,0.06723268817164785,0.16119073575767096,0.7781682361304063,0.22061028909095437,0.3537473157507546,0.624150097824451,0.4873329824050535,0.05420301283886397,0.07154864152639584
Information And Communication Technology (Ict) # - Rajarata University of Sri Lanka,0.16977285183606405,0.1591019683500957,0.7248829648518815,0.045526991564759145,0.07015672854323873,0.11235480283481569,0.036206517390949156,0.7497721504101291,0.6315320837085996,0.2397081323337329,0.2916115995279519,0.23564802114406658,0.9595651737747889,0.9133390993678485,0.017726492438840613,0.0629060673919195,0.33650898901639437,0.6658328385064505,0.43479455264807,0.801522176209803,0.6418118689514976,0.611344796892917,0.11044482006956724,0.11371569916853475,0.0018691221807607405
Information And Communication Technology (Ict) # - University of Jaffna - Vavuniya Campus,0.5319951244322081,0.5053920510797973,0.5160031860407263,0.8563402115459641,0.5114175715407491,0.6166518464462891,0.9602892432119756,0.5186235827840455,0.5336103470877096,0.4643281545072805,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.5577258556109024,0.7507234632957442,0.13023691789672664,0.5836083209258967,0.5938539570553221,0.5340916251324654,0.5467192918806385,0.6418118689514976,0.5671476349334417,0.5401164437477988,0.9477512448647676,0.5664904939617376
Information Systems # - University of Colombo School of Computing,0.7719258056975877,0.1021520810213451,0.02782932270731575,0.005913990014684067,0.004914057060656063,0.02802209463566352,0.129075181140897,0.037913616325978006,0.053466109453371935,0.40253745348480263,0.021759107242626974,0.5098090817363894,0.9595651737747889,0.12116374027068444,0.1152810577174942,0.38659355663351513,0.6027956084164078,0.9080694552766044,0.2479044658785915,0.6672719823873451,0.14516550329968358,0.49658912459865545,0.6401116982737542,0.5575710440326086,0.0004033822498642481
Software Engineering - University of Kelaniya,0.6954000392255966,0.670812780217753,0.7035134589397489,0.8563402115459641,0.6621467051461596,0.41745701872937613,0.648821303121256,0.697877742203727,0.8057044969119945,0.7711123327898239,0.6484184571510911,0.2032597882045133,0.8225453801498722,0.5577258556109024,0.24794652776629145,0.0582712881934101,0.6604166670856932,0.6339306787370427,0.615870228452625,0.008044328164889203,0.6418118689514976,0.8333310686150088,0.48665038177062736,0.6209361994819415,0.17575296657790063
Software Engineering - Sabaragamuwa University of Sri Lanka,0.5610589339556125,0.8156650878926899,0.4942621431968309,0.6290236516573012,0.9975284272568046,0.7490668572536838,0.24056150789658048,0.9192615746660758,0.7507780357177216,0.13403033694427424,0.9373909619249937,0.28587474096545995,0.29861214462513774,0.24728264055769678,0.048395895458831606,0.48714416135163574,0.9026370237102312,0.8116673698884119,0.9953862560294648,0.7233918915854551,0.8518107093045567,0.8684611729990731,0.42127603330752916,0.5329077393718498,0.7281231914693762
Ayurvedic Medicine & Surgery - Institute of Indigenous Medicine,0.6772583928408971,0.7724697656638329,0.6070072065883368,0.5684723107711263,0.8524257744577353,0.00866213002495586,0.48887237714496856,0.5319452445337159,0.6260000922123576,0.8357286917899752,0.6484184571510911,0.008655113948386473,0.9595651737747889,0.0006667519499863328,0.04989547714927689,0.23147130645885905,0.6905673960880303,0.6844162085719003,0.5906438987649549,0.9526841706457005,0.11423110946550907,0.8646401139203275,0.15290749949669646,0.6347465792965862,0.6992826910937681
Ayurvedic Medicine & Surgery - Gampaha Wickramaarachchi Ayurveda Institute,0.9028849908043362,0.5398108738189475,0.4903985311436201,0.8341126212701329,0.9662848807837208,0.6672191491094777,0.9619737741561197,0.8222212531121686,0.2704473613446289,0.9524639305858551,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.6727244127453671,0.6702542245717595,0.13023691789672664,0.5677867976325606,0.5544194739361928,0.4928946745619466,0.8636033488521131,0.28298367350999487,0.8886929747201409,0.7591622825781283,0.9877781432201166,0.7784036390931905
Unani Medicine & Surgery - Institute of Indigenous Medicine,0.06998065910629625,0.003888828158212121,0.09156094282165239,0.6399043902198537,0.08958390947161221,0.0020167202210781277,0.11379361643090924,0.38155587431061944,0.26946877316562645,0.09743311290475953,0.045241545541348294,0.009531488667188004,0.8170863393528923,0.02670301896413685,0.19253920971204808,0.7403879541101552,0.7007942340595308,0.7242752113351487,0.3514979222233666,0.7016843335509628,0.3951564584825844,0.10706045983653967,0.7409899577158361,0.28632473547705195,0.054685498908396135
Siddha Medicine & Surgery - University of Jaffna,0.7977409173420521,0.8424091393741783,0.7524005027079479,0.5770086665650953,0.9834056794767773,0.9865332197032299,0.9602892432119756,0.15588180769818616,0.9755711892624097,0.9758738753423087,0.9115958837063544,0.8486019351345698,0.39063447058861545,0.8391574828747725,0.9378164397247193,0.9926785991676431,0.9909273547554766,0.5101870402298212,0.9637610839958785,0.04317805405523878,0.41908160444549325,7.370249138460849e-05,0.783476600688737,0.9429259190142328,0.02148264576368264
